scenario_id,scenario_cn,basic_max_deg,basic_rms_deg,signal_harmonic_max_deg,signal_harmonic_rms_deg,angle_fourier_max_deg,angle_fourier_rms_deg
clean_baseline,无噪声基准,1.70371896279542,0.821778930997332,0.494038453886381,0.203125390247838,0.125024413045026,0.0418495607425293
adc_quantization,仅ADC量化,1.70350859278434,0.821784304662232,0.493871602490845,0.203138509016461,0.125277294473056,0.0418535293521166
adc_plus_noise,ADC量化+白噪声,1.73333578496978,0.821860700870699,0.536673093931008,0.20339240721201,0.161001282613457,0.0431486445553966
adc_noise_lowpass,ADC量化+白噪声+低通滤波,1.74970117536685,0.865481823114485,0.734575544329665,0.333018590390007,0.415731164802313,0.292008130455782
